epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.0894,0.58939,0.93754,0.90514,0.26894,0.41281,0.25556,0.22097,0.23062,0.23761,0.78057,0.0033243,0.0033243,0.0033243
2,152.333,0.57888,0.48546,0.88811,0.22928,0.68939,0.28708,0.24777,0.34222,0.30221,0.81431,0.00663566,0.00663566,0.00663566
3,222.575,0.63933,0.51012,0.90643,0.54808,0.34669,0.39674,0.33654,0.31637,0.33069,0.80492,0.00992503,0.00992503,0.00992503
4,292.392,0.65191,0.49762,0.91342,0.50181,0.23239,0.26633,0.21263,0.31751,0.38826,0.79941,0.009901,0.009901,0.009901
5,361.98,0.6257,0.46547,0.90327,0.47223,0.3162,0.29277,0.24568,0.2859,0.33278,0.79371,0.009868,0.009868,0.009868
6,431.688,0.60587,0.44818,0.90061,0.74311,0.36232,0.39991,0.33784,0.27982,0.27639,0.79164,0.009835,0.009835,0.009835
7,501.227,0.58683,0.42805,0.89591,0.37344,0.54181,0.4671,0.40942,0.26116,0.28865,0.79018,0.009802,0.009802,0.009802
8,571.101,0.56672,0.41335,0.8893,0.52875,0.55599,0.52697,0.46285,0.24548,0.23446,0.78691,0.009769,0.009769,0.009769
9,640.991,0.55569,0.39079,0.88855,0.64014,0.45917,0.51204,0.45289,0.25058,0.24333,0.78784,0.009736,0.009736,0.009736
10,710.642,0.54364,0.38579,0.8824,0.50439,0.64889,0.6317,0.55914,0.23093,0.22662,0.78404,0.009703,0.009703,0.009703
11,780.413,0.53948,0.38061,0.88237,0.6087,0.58058,0.58932,0.52164,0.23488,0.22078,0.7843,0.00967,0.00967,0.00967
12,850.128,0.52526,0.37147,0.88252,0.58519,0.58958,0.62904,0.55965,0.22763,0.21356,0.78261,0.009637,0.009637,0.009637
13,919.841,0.5181,0.37355,0.87729,0.47648,0.66541,0.61346,0.54849,0.23227,0.21973,0.7832,0.009604,0.009604,0.009604
14,989.415,0.51157,0.36434,0.87803,0.66858,0.51872,0.61338,0.54764,0.22802,0.21492,0.78161,0.009571,0.009571,0.009571
15,1059.04,0.50538,0.35243,0.87383,0.63475,0.5862,0.65664,0.57915,0.21875,0.2051,0.78021,0.009538,0.009538,0.009538
16,1128.8,0.49818,0.34878,0.87377,0.69494,0.52394,0.66914,0.59829,0.21168,0.19933,0.77878,0.009505,0.009505,0.009505
17,1198.55,0.49473,0.34653,0.87091,0.54146,0.70229,0.65069,0.58747,0.20381,0.19664,0.77796,0.009472,0.009472,0.009472
18,1268.15,0.48656,0.34079,0.86751,0.63185,0.61502,0.71993,0.64202,0.20304,0.19458,0.77862,0.009439,0.009439,0.009439
19,1337.94,0.48594,0.33923,0.86842,0.56219,0.72719,0.70958,0.63938,0.204,0.19512,0.77821,0.009406,0.009406,0.009406
20,1407.74,0.48545,0.33772,0.86982,0.46469,0.76323,0.61829,0.55625,0.19945,0.19075,0.7764,0.009373,0.009373,0.009373
21,1477.62,0.47627,0.32896,0.86659,0.49861,0.68149,0.62344,0.55883,0.19801,0.18869,0.77736,0.00934,0.00934,0.00934
22,1547.15,0.47637,0.32405,0.86971,0.66472,0.71963,0.76353,0.6927,0.19122,0.18109,0.7763,0.009307,0.009307,0.009307
23,1616.77,0.47244,0.32655,0.8618,0.67661,0.57339,0.67498,0.60438,0.19129,0.18613,0.77506,0.009274,0.009274,0.009274
