epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.90664,2.43729,10.2496,1.56432,0.64002,0.40003,0.49954,0.3106,1.50479,5.19922,1.1645,0.00037154,0.00037154,0.00037154
2,8.31012,1.92497,5.68729,1.3208,0.01128,0.76202,0.0093,0.00593,1.34455,7.30567,0.95994,0.000749872,0.000749872,0.000749872
3,10.6584,1.75691,4.16805,1.27867,0.04792,0.44444,0.10108,0.04288,1.15679,4.47534,0.93713,0.00112056,0.00112056,0.00112056
4,12.9009,1.72956,3.64772,1.37124,0.00498,0.77778,0.24504,0.15556,1.35686,708.694,1.09615,0.00138656,0.00138656,0.00138656
5,15.1229,1.78002,3.23806,1.38334,0.82187,0.55556,0.62304,0.29243,1.39821,3.37717,1.01229,0.00137241,0.00137241,0.00137241
6,17.466,1.78029,3.03047,1.39379,0.85967,0.68239,0.86663,0.32694,1.98376,1.63073,1.14036,0.00135826,0.00135826,0.00135826
7,19.7967,1.8909,1.89887,1.42383,0.74054,0.63725,0.74676,0.33968,1.12925,1.49249,0.96835,0.00134412,0.00134412,0.00134412
8,22.1905,1.78217,1.96241,1.30194,0.7288,0.60071,0.71469,0.40988,1.01717,1.42172,0.96767,0.00132997,0.00132997,0.00132997
9,24.6165,1.65976,1.82083,1.36202,0.64894,0.66667,0.72271,0.43067,1.04513,2.05619,1.013,0.00131582,0.00131582,0.00131582
10,27.0232,1.93013,1.80779,1.46326,0.86492,0.66667,0.81499,0.54756,1.27776,0.98632,1.05003,0.00130168,0.00130168,0.00130168
11,29.4204,1.65428,1.33587,1.33249,0.75694,0.77778,0.80152,0.5351,1.22465,1.14049,1.00611,0.00128753,0.00128753,0.00128753
12,31.7777,1.78189,1.45453,1.5048,0.78864,0.8321,0.8496,0.58192,1.20206,1.65077,0.99792,0.00127338,0.00127338,0.00127338
13,34.1563,1.68589,1.38991,1.32063,0.81226,0.77778,0.81016,0.51598,1.63852,1.55781,1.11966,0.00125923,0.00125923,0.00125923
14,36.4819,1.67798,1.29247,1.32886,0.97165,0.77778,0.90604,0.5591,1.44598,1.08623,1.0934,0.00124509,0.00124509,0.00124509
15,38.7383,1.7192,1.2539,1.24013,0.71397,0.88889,0.82008,0.53053,1.41423,1.07166,1.16564,0.00123094,0.00123094,0.00123094
16,41.0192,1.60416,1.10015,1.27901,0.88195,0.88889,0.88611,0.59668,1.05736,0.82259,1.00175,0.00121679,0.00121679,0.00121679
17,43.355,1.50264,1.1404,1.18408,0.97582,0.88889,0.90802,0.61593,0.97214,0.76757,0.93229,0.00120265,0.00120265,0.00120265
18,45.7321,1.6053,1.24389,1.27282,0.81579,0.9854,0.92611,0.6474,1.01609,0.71676,0.90709,0.0011885,0.0011885,0.0011885
19,48.0415,1.7144,1.24837,1.26452,0.88507,0.88889,0.9675,0.7071,0.92367,0.69004,0.88768,0.00117435,0.00117435,0.00117435
20,50.442,1.75634,1.14411,1.35385,0.97537,0.88889,0.975,0.73325,0.88423,0.79053,0.86878,0.00116021,0.00116021,0.00116021
21,52.8462,1.64465,1.15954,1.23417,0.89957,0.99575,0.984,0.67198,1.12494,0.67626,0.91786,0.00114606,0.00114606,0.00114606
22,55.2084,1.40916,0.99743,1.21504,0.98248,0.88889,0.9675,0.67087,1.1765,0.73671,0.93441,0.00113191,0.00113191,0.00113191
23,57.5782,1.43888,1.07957,1.23547,0.89842,0.98417,0.94,0.71368,1.06527,0.70703,0.9229,0.00111776,0.00111776,0.00111776
24,59.875,1.55541,1.03277,1.22471,0.95948,0.88889,0.94324,0.62314,1.0266,0.67151,0.97251,0.00110362,0.00110362,0.00110362
25,62.2268,1.62162,0.9817,1.25781,0.95997,0.88889,0.94324,0.68031,1.0128,0.739,0.9754,0.00108947,0.00108947,0.00108947
26,64.5649,1.49602,0.96282,1.19505,0.98475,0.88889,0.94687,0.62829,1.03648,0.74774,0.92714,0.00107532,0.00107532,0.00107532
